Album,Album ID,Release Date,Track Number,Disc Number,Track Name,Track ID,Explicit,Duration,Primary Artist,Featured Artists,Total Artists,Popularity,Genius Track ID,Lyrics,Word Count
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,1,1,Intro,7lIr3vVhpDkU5mQEDcnA0S,True,19133,Kanye West,,1,14,120581,"[Intro: DeRay Davis]
Kanye, can I talk to you for a minute?
Me and the other faculty members was wonderin'
Could you do a lil' som—
Somethin' beautiful, somethin' that the kids is gon' love when they hear it
That's gon' make them start jumpin' up and down, and sharin' candy and stuff
Think you could probably do somethin', for the kids, for graduation to sing?",66
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,2,1,We Don't Care,0IW0qaeyxL5Et4UG2MrJKB,True,239880,Kanye West,,1,66,370,"[Intro]
Oh, yeah
I got the perfect song for the kids to sing
And all my people that's—

[Chorus]
Drug dealin' just to get by
Stack your money 'til it get sky high
We wasn't s'posed to make it past twenty-five
Joke's on you, we still alive
Throw your hands up in the sky and say
""We don't care what people say"" (Yeah, yeah, yeah, uh)

[Verse 1]
If this is your first time hearin' this
You are about to experience somethin' so cold, man
We never had nothin' handed, took nothin' for granted
Took nothin' from no man, man, I'm my own man
But as a shorty, I looked up to the dope man
Only adult man I knew that wasn't broke, man
Flicking Starter coats, man—man, you don't know, man
We don't care what people say
This is for my niggas outside all winter
'Cause this summer, they ain't finna say, ""Next summer, I'm finna...""
Sittin' in the hood like community colleges
This dope money here is Lil' Trey's scholarship
'Cause ain't no tuition for having no ambition
And ain't no loans for sittin' your ass at home
So we forced to sell crack, rap, and get a job
You gotta do somethin', man, your ass is grown

[Chorus: Kanye West with Choir]
Drug dealin' just to get by
Stack your money 'til it get sky high
Kids, sing! Kids, sing!
We wasn't s'posed to make it past twenty-five
Joke's on you, we still aliveThrow your hands up in the sky and say
""We don't care what people say""

[Verse 2]
This second verse is for my dogs working nine to five that still hustle
'Cause a nigga can't shine off $6.55
And everybody sellin' makeup, Jacob's
And bootleg tapes just to get they cake up
We put shit on layaway, then come back
We claim other people kids on our income tax
We take that money, cop work, then push packs to get paid
And we don't care what people say
Mama say she wanna move South
Scratching lottery tickets, eyes on a new house
'Round the same time, Doe ran up in dude house
Couldn't get a job, so since he couldn't get work, he figured he'd take work
The drug game bulimic, it's hard to get weight
So niggas' money is homo, it's hard to get straight
But we gon' keep bakin' 'til the day we get cake
And we don't care what people say
My niggas—

[Chorus: Kanye West & Choir, Kanye West]
Drug dealin' just to get by (
Yeah
)
Stack your money 'til it get sky high
Kids, sing! Kids, sing!
We wasn't s'posed to make it past twenty-five
Joke's on you, we still alive (
Alive
)
Throw your hands up in the sky and say (
Uh-huh, yeah
)
""We don't care what people say"" (
Yeah, yeah, ugh
)

[Verse 3]
You know the kids gon' act a fool
When you stop the programs for after school
And they DCFS, some of 'em dyslexic
They favorite 50 Cent song ""12 Questions""
We scream: ""Rocks, blows, weed, park,"" see, now we smart
We ain't retards the way teachers thought
Hold up, hold fast, we make more cash
Now, tell my mama I belong in that slow class
It's bad enough we on welfare
You tryna put me on the school bus with the space for the wheelchair
I'm tryna get the car with the chromey wheels here
You tryna cut our lights out like we don't live here
Look what was handed us, fathers abandoned us
When we get them hammers, go on, call the ambulance
Sometimes, I feel no one in this world understands us
But we don't care what people say
My niggas—

[Chorus: Kanye West & Choir, Kanye West]
Drug dealin' just to get by
Stack your money 'til it get sky high
Kids, sing! Kids, sing!
We wasn't s'posed to make it past twenty-five
Joke's on you, we still alive
Throw your hands up in the sky and say
""We don't care what people say""

[Produced by Kanye West]",684
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,3,1,Graduation Day,7wL7Lb8Q3aYyq6gmRL0PZq,True,81786,Kanye West,,1,54,73181,"[Spoken: DeRay]
What in the fuck was that, Kanye?!
I told you to do some shit for the kids!
You can give me your muthafuckin' graduation ticket right now!
You give me this muthafuckin' robe before you catch some senioritis!
You will not walk 'cross that stage, you won’t slide across that stage!
Motherfucker can’t pull you 'cross that muthafuckin' stage, Kanye!
Who told you? See, I told you to do somethin' uplifting!
I’m tryna get you out here with these white people and this how you're gon' do me?
You know what, you's a nigga, and I don’t mean that in no nice way
Had lil' kids sing about the shit—y'know, the joke's on you
You throw your motherfucking hands in the air and wave goodbye to every-motherfucking-body!
'Cause, you getting the fuck out of this campus!
What the fuck you gon' do now?

[Verse: John Legend]
I'm no longer confused, but, don't tell anybody
I'm about to break the rules, but, don't tell anybody
I got something better than school, so don't tell anybody
My momma would kill me, so, don't tell anybody
She wants me to get a good-ass job, just like everybody
She ain't walked in my shoes, I'm just not everybody",206
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,4,1,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,True,223506,Kanye West,Syleena Johnson,2,83,86,"[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
Yeah, this the real one, baby
I'm tellin' you all, it all falls down
Uh, Chi-Town, stand up!
Oh, when it all, it all falls down
Southside, Southside
We gon' set this party off right
I'm tellin' you all, it all falls down
Westside, Westside
We gon' set this party off right
Oh, when it all

[Verse 1: Kanye West]
Man, I promise, she's so self-conscious
She has no idea what she doin' in college
That major that she majored in don't make no money
But she won't drop out, her parents'll look at her funny
Now, tell me that ain't insecurr
The concept of school seems so securr
Sophomore, three yurrs, ain't picked a carurr
She like, ""Fuck it, I'll just stay down hurr and do hair""
'Cause that's enough money to buy her a few pairs
Of new Airs, 'cause her baby daddy don't really care
She's so precious with the peer pressure
Couldn't afford a car, so she named her daughter Alexis
She had hair so long that it looked like weave
Then she cut it all off, now she look like Eve
And she be dealin' with some issues that you can't believe
Single black female addicted to retail, and well

[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
And when it falls down, who you gon' call now?
I'm tellin' you all, it all falls down
C'mon, c'mon, and when it all falls down
Oh, when it all

[Verse 2: Kanye West]
Man, I promise, I'm so self-conscious
That's why you always see me with at least one of my watches
Rollies and Pashas done drove me crazy
I can't even pronounce nothing, pass that Ver-say-see!
Then I spent four hundred bucks on this
Just to be like, ""Nigga, you ain't up on this""
And I can't even go to the grocery store
Without some 1s that's clean and a shirt with a team
It seem we livin' the American Dream
But the people highest up got the lowest self-esteem
The prettiest people do the ugliest things
For the road to riches and diamond rings
We shine because they hate us, floss 'cause they degrade us
We tryna buy back our 40 acres
And for that paper, look how low we'll stoop
Even if you in a Benz, you still a nigga in a coupe

[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
Come on, come on
I'm tellin' you all, it all falls down
And when it falls down, who you gon' call now?
Oh, when it all, it all falls down
Come on, come on
I'm tellin' you all, it all falls down
And when it all falls down

[Verse 3: Kanye West]
I say, ""Fuck the police,"" that's how I treat 'em
We buy our way out of jail, but we can't buy freedom
We'll buy a lot of clothes, but we don't really need 'em
Things we buy to cover up what's inside
'Cause they made us hate ourself and love they wealth
That's why shorty's hollerin', ""Where the ballers at?""
Drug dealer buy Jordan, crackhead buy crack
And the white man get paid off of all of that
But I ain't even gon' act holier than thou'
'Cause fuck it, I went to Jacob with 25 thou'
Before I had a house and I'd do it again
‘Cause I wanna be on 
106 & Park
, pushin' a Benz
I want to act ballerific like it's all terrific
I got a couple past-due bills, I won't get specific
I got a problem with spendin' before I get it
We all self-conscious, I'm just the first to admit it

[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
C'mon, c'mon
And when it falls down, who you gon' call now?
I'm tellin' you all, it all falls down
C'mon, c'mon, and when it falls down
Oh, when it all, it all falls down
Southside, Southside
We gon' set this party off right
I'm tellin' you all, it all falls down
Westside, Westside
We gon' set this party off right
Oh, when it all, it all falls down
Chi-Town, Chi-Town
We gon' show 'em how we get down
I'm tellin' you all, it all falls down
Now, Syleena, you just like a safe belt, you saved my lifeC'monOh, when it all, it all falls down
I'm tellin' you all, it all falls down

[Outro: DeRay]
*Applause*
I can't keep workin' like this
This grave shifts is like a slave ship

[Produced by Kanye West]",787
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,5,1,I'll Fly Away,6MgGapP3EPFm9kYUvYBTZR,True,69706,Kanye West,,1,54,54404,"[Verse: The World Famous Tony Williams & DeRay Davis]
One glad morning, when this life is over, I'll fly away
To a land where joy shall never end, oh, I'll fly away

[Chorus: The World Famous Tony Williams & DeRay Davis]
Oh, I'll fly away, oh, glory
I'll fly away
When I die, Hallelujah, bye and bye
I'll fly away",60
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,6,1,Spaceship,1ko2NuvWlQdxtNRc8QQzmT,True,324226,Kanye West,"GLC, Consequence",3,66,522,"[Produced by Kanye West]

[Chorus: Kanye West & 
GLC
]
I've been working this grave-shift
And I ain't made shit (Yeah, yeah)
I wish I could (
Me, too
)
Buy me a spaceship and fly (
I swear I do
)
Past the sky, oh
GLC feel you, Ye—I feel you, man
I've been working this grave-shift
And I ain't made shit
I wish I could
Buy me a spaceship and fly
Past the sky (Man, man, man...)
Oh, oh, oh

[Verse 1: Kanye West]
If my manager insults me again
I will be assaulting him
After I fuck the manager up
Then, I'm gonna shorten the register up
Let's go back, back to the Gap
Look at my check—wasn't no scratch
So if I stole, wasn't my fault
Yeah, I stole—never got caught
They take me to the back and pat me
Asking me about some khakis
But let some Black people walk in
I bet you they show off their token blackie
Oh, now they love Kanye
""Let's put him all in the front of the store""
So I'm on break
Next to the ""No Smoking"" sign with a blunt in the mall
Taking my hits, writing my hits
Writing my rhymes, playing my mind
This fucking job can't help him
So I quit, y'all welcome
Y'all don't know my struggle
Y'all can't match my hustle
You can't catch my hustle
You can't fathom my love, dude
Lock yourself in a room
Doing five beats a day for three summers
That's 
A Different World
 like Cree Summer's
I deserve to do these numbers
""The kid that made that deserves that Maybach!""
So many records in my basement
I'm just waitin' on my spaceship, blaow!

[Chorus: Kanye West, 
GLC
, & 
Kanye w/ Choir
]
I've been working this grave-shift
And I ain't made shit
I wish I could buy me a spaceship and fly
Past the sky, oh
I've been working this grave-shift
And I ain't made shit
I wish I could 
buy me a spaceship and fly
Past the sky
Tryna tell you, man, way past the sky
Oh, oh
 (
Let's go, ugh
)

[Verse 2: GLC]
And I didn't even try to work a job
Represent the mob at the same time (Woo)
Thirsty on the grind, Chi state of mind
Lost my mama, lost my mind (Aww)
Life, my love, that's not mine
""Why you ain't signed?"" Wasn't my time
Leave me alone, work for y'all
Half of it's yours, half of it's mine
Only wanna ball, never wanna fall (Ugh)
Gotta get mine, gotta take mine (Ugh)
Got a Tec-9, reach my prime (Ugh)
Gotta make these haters respect mine (Yeah)
In the mall 'til 12 when my schedule had said 9
Putting them pants on shelves
Waiting patiently, I ask myself
Where I wanna go, where I wanna be
Life is much more than running in the streets
Holler at 'Ye, hit me with the beat
Put me on my feet, sounds so sweet
Yes, I'm the same ol' G
Same goatee, stayin' low-key, nope
Holler at God: ""Man, why'd You have to take my folks?""
Hope to see Freddie G., Yusef G, love my G
Rolly G, police watch me
Smoke my weed and count my Gs
Got a lot of people counting on me (That's right)
And I'm just tryin' to find my peace (That's right)
Should've finished school like my niece
Then I finally wouldn't use my piece, blaow!

[Chorus: Kanye West, 
GLC
, & 
Kanye w/ Choir
]
I've been working this grave-shift
Aww, man, this pressure
And I ain't made shit
I wish I could
Buy me a spaceship and fly
Past the sky
, oh
I've been working this grave-shift
And I ain't made shit
I wish I could
Buy me a spaceship and fly
Past the sky
Oh, oh, oh

[Verse 3: Consequence]
I 'member having to take the dollar cab
Coming home real late at night
Standing on my feet all damn day
Tryna make this thing right
And havin' one of my coworkers say, ""Yo, you look just like
This kid I seen in an old Busta Rhymes video the other night""
Well, easy come, easy go, how that saying goes
No more broad service, cars, and them TV shows
That all had got snatched from me, A&Rs and they faculties
All turn they back on me and didn't wanna hear a rap from me
So naturally, actually, had to face things factually
Had to be a catastrophe, empty fridge is staring back at me
'Cause nothing's there, nothing's fair
I don't wanna ever go back there
So I won't be taking no days off 'til my spaceship takes off, blaow!

[Chorus: Kanye West & 
Kanye w/ Choir
]
I've been working this grave-shift
And I ain't made shit
I wish I could
Buy me a spaceship and fly
Past the sky
, oh
I've been working this grave-shift
And I ain't made shit
I wish I could
Buy me a spaceship and fly
Past the sky
Oh, oh, oh

[Outro: Tony Williams]
I wanna fly
I wanna fly
I said I want my chariot to pick me up
And take a brother for a ride
(Heaven knows, heaven knows)",878
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,8,1,Never Let Me Down,34j4OxJxKznBs88cjSL2j9,True,324440,Kanye West,"JAY-Z, J. Ivy",3,63,1465,"[Intro: JAY-Z]
Oh, baby
Ha-ha-ha-ha
Turn the motherfuckin' music up

[Chorus]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh, no, you'll never let me down
Get up, I get 
down
, get up, I get 
down
Get up, I get 
down
, get up, I get 
down
Get up, I get 
down
, get up, I get down

[Over Chorus: JAY-Z]
That's right, it's what I do!
C'mon, uh-huh
Nah, you know I never let you down!
Gyeah, gyeah, yuh

[Verse 1: JAY-Z]
Yo, first, I snatched the streets, then I snatched the charts
First, I had they ear, now I have they heart
Rappers came and went, I've been here from the start
I seen them put it together, watched them take it apart
Seen the Rovers roll up with ribbons
I seen them re-po'd, re-sold, then re-driven
So when I reload, he holds number one position
When you hot, I'm hot
And when your feet cold, mines is sizzling
It's plain to see, niggas can't fuck with me
'Cause I'ma be that nigga for life
This is not an image, this is God-given
This is hard-livin', mixed with Cristal sippin'
It's the most consistent, Hov
Give you the most hits you can fit inside a whole disc and
Nigga, I'm home on these charts, y'all niggas visitin'
It's Hov tradition, Jeff Gordon of rap
I'm back to claim pole position, holla at ya, boy

[Chorus]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh, no, you'll never let me down
Get up, I get 
down
, get up, I get 
down
Get up, I get 
down
, get up, I get 
down
Get up, I get 
down
, get up

[Verse 2: Kanye West]
I get down for my grandfather who took my momma
Made her sit in that seat where white folks ain't want us to eat
At the tender age of 6, she was arrested for the sit-ins
And with that in my blood, I was born to be different
Now niggas can't make it to ballots to choose leadership
But we can make it to Jacob's or to the dealership
That's why I hear new music and I just don't be feelin' it
Racism still alive, they just be concealin' it
But I know they don't want me in the damn club
They even made me show ID to get inside of Sam's Club
I done did dirt and went to church to get my hands scrubbed
Swear I've been baptized 'least three or four times
But in the land where niggas praise Yukons and getting paid
It's gon' take a lot more than coupons to get us saved
Like it take a lot more than durags to get you waves
Nothing sad as that day my girl father passed away
So I promised to Mr. Rainey, I'm gonna marry your daughter
And you know I gotta thank you for the way that she was brought up
And I know that you were smiling when you seen the car I bought her
And you sent tears from Heaven when you seen my car get balled up
But I can't complain what the accident did to my left eye
'Cause look what an accident did to Left Eye
First Aaliyah, now Romeo must die
I know I got angels watching me from the other side

[Chorus]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh, no, you'll never let me down
Get up, I get 
down
, get up, I get 
down
Get up, I get 
down
, get up, I get 
down
Get up, I get 
down
, get up, I get down

[Verse 3: J. Ivy]
We are all here for a reason on a particular path
You don't need a curriculum to know that you a part of the math
Cats think I'm delirious but I'm so damn serious
That's why I expose my soul to the globe, the world
I'm trying to make it better for these little boys and girls
I'm not just another individual
My spirit is a part of this, that's why I get spiritual
But I get my hymns from Him
So it's not me, it's He that's lyrical
I'm not a miracle, I'm a Heaven-sent instrument
My rhythmatic regiment navigates melodic notes for your soul and your mental
That's why I'm instrumental, vibrations is what I'm into
Yeah, I need my loot by rent day
But that ain't what gives me the heart of Kunta Kinte
I'm trying to get us ""us free"" like Cinque
I can't stop, that's why I'm hot
Determination, dedication, motivation
I'm talking to you of my many inspirations
When I say I can't let you or self down
If I were on the highest cliff, on the highest riff
And you slipped off the side and clinched on to your life
In my grip, I would never, ever let you down
And when these words are found
Let it be known that God's penmanship has been signed with a language called love
That's why my breath is felt by the deaf
And while my words are heard and confined to the ears of the blind
I, too, dream in color and in rhyme
So I guess I'm one of a kind in a full house
'Cause whenever I open my heart, my soul or my mouth
A touch of God reigns out
Take 'em to church

[Chorus]
When it comes to being true, at least true to me
One thing I found, one thing I found
Oh, no, you'll never let me down
Get up, I get, get up, I get
Get up, I get, get up, I get
Get up, I get, get up, I get down

[Verse 4: JAY-Z & (Kanye West)]
Who else you know been hot this long?
(Oh yeah, we ain't finished)
Started from nothing but he got this strong
(The Roc is in the building)
Built the Roc from a pebble, peddled rock before I met you
Pedaled bikes, got my nephews pedal bikes because they special (Woo-hoo)
Let you tell it, man, I'm falling
Well, somebody must have caught him
'Cause every fourth quarter, I like to Mike Jordan 'em
Number one albums, what I got? Like four of them
More of them on the way, the eighth wonder on the way
Clear the way, I'm here to stay
Y'all can save the chitter chat, this and that
Dissin' Jay, dissin' Jay'll get you maced
When I start spitting them lyrics, niggas get very religious
Six Hail Marys, 'Please, Father forgive us'
Young, the archbishop, the Pope John Paul of y'all niggas
The way y'all all follow Jigga
Hov's a living legend and I'll tell you why
Everybody wanna be Hov and Hov's still alive",1164
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,9,1,Get Em High,5b2FFKC64kxqcfaFnIZxoM,True,289493,Kanye West,"Talib Kweli, Common",3,59,1083,"[Intro: Kanye West]
Uh-uh, I'm tryna catch the beat
Uh, I'm tryna catch the beat
I'm tryna catch the beat, uh-uh, uh-uh
I'm tryna catch the beat

[Chorus: Kanye West]
N-now, th-th-throw your motherfuckin' hands
Get 'em high
All the girls pass the weed to your motherfuckin' man
Get 'em high
Now I ain't never tell you to put down your hands
Keep 'em high
And if you're losin' your high, then smoke again
Keep 'em high (Now, now, now, now)

[Verse 1: Kanye West]
My flow is in the pocket like wallets, I got the bounce like hydraulics
I can't call it, I got the swerve like alcoholics
My freshman year, I was going through hella problems
'Till I built up the nerve to drop my ass up out of college
My teacher said I's a loser, I told her, ""Why don't you kill me?
I give a fuck if you fail me, I'm gonna follow
My heart"", and if you follow the charts
Or the plaques or the stacks, you ain't gotta guess who's back, you see?
I'm so Chi' that you thought I was bashful
But this bastard's flow will bash your skull
And I will cut your girl like Pastor Tro'
And I don't usually smoke, but pass the 'dro
And I won't give you that money that you askin' for
Why you think me and Dame cool? We assholes
That's why we hear your music and fast forward
'Cause we don't wanna hear that weak shit no mo'

[Chorus: Kanye West]
N-now, th-th-throw your motherfuckin' hands
Get 'em high
All the girls pass the weed to your motherfuckin' man
Get 'em high
Now I ain't never tell you to put down your hands
Keep 'em high
And if you're losin' your high, then smoke again
Keep 'em high (Now, now, now, now, now, you've got mail)

[Verse 2: Kanye West, Sumeke Rainey & Talib Kweli]
Now who the hell is this?
Emailing me at 11:26
Telling me that she thirty-six, twenty-six plus double-D?
You know how girls on Black Planet be when they get bubbly
At NYU but she hail from Kansas
Right now, she just lampin', chillin' on campus
Sent me a picture with her feelin' on Candice
Who said her favorite rapper was the late great Francis
W-H-I-T, it's getting late, mami
Your screen saver say Tweet, so you got to call me
And bring a friend for my friend, his name Kweli
You mean Talib? Lyrics stick to your rib (I mean)
That's my favorite CD that I play at my crib (I mean)
You don't really know him, why is you lyin'?
Yo, Kwe, she don't believe me, please pick up the line
She gon' think that I'm lyin', just spit a couple of lines
Then maybe I'll be able to give her dick all the time
And get her high (Yeah), ow

[Verse 3: Talib Kweli & 
Common
]
I can't believe this nigga use my name for pickin' up dimes
But never mind, I need some tracks, you tryin' to pull tracks out
And my rhymes is finna blow, you trying to blow backs out
Well, okay, you twisted my arm, I'll assist with the charm
Ayo, ain't you meet that chick at that conference with your moms?
Her sister the bomb, but she got the bougie behavior
Always got something to say like a OkayPlayer-hater
Anyways, I don't usually fuck with the Internet
Or chicks with birth control stuck to they arm like Nicorette (
Keep 'em high
)
You really fuckin' that much or tryna get off cigarettes? (
Keep 'em high
)
If she think it's fly, she ain't met a real nigga yet (No)
I apologize if I come off a little inconsiderate
I got the Bubba Kush and her sister could get a hit of it, yeah (Yo, yo)

[Verse 4: Common]
Get 'em high like noon or the moon
Or a room filled with smoke, a hype filled with dope
Y'all assumed I was doomed, out of tune
But I still filled the notes with real nigga quotes
Real rappers is hard to find like a remote
Control, rap is out of
Used to, but still got love
That's why I abuse you who are not thugs
Rock clubs like Tiger Woods in the hood
Should have my own reality show called ""Soul Survivor""
I stole on live-er niggas than you
You's a bitch, I got ones that are thicker than you
How could I ever let your words affect me?
They say hip-hop is dead, I'm here to resurrect me
Marks is too sexy to even make songs like these
That's why the raw don't know your name, like Alicia Keys
Too many featured MCs, and producers is popular
Twelve thousand spins, nobody got to coppin' a
Album, how come you the hot garbage of
The year? It's clear your image is looped up
Label got you souped up, tellin' you you sick
When you a dick with a loose nut
Video hard to watch like Medusa
Even your club record need a booster, chimped up
With a pimp cup, illiterate nigga, read the infra-
Red across your head, I'm bred king like Simba
Bolder than Denver, I ain't a mad rapper
Just a MC with a temper
You dancin' for money like Honey, I did this my way
So when the industry crash, I survive like Kanye
Spittin' through wires and fires, MCs retirin'
Got your hands up, get them motherfuckers higher, then

[Chorus: Kanye West & Common]
N-now, th-th-throw your motherfuckin' hands
Get 'em high (Yeah)
All the girls pass the weed to your motherfuckin' man
Get 'em high (Mm-mm, uh-uh, uh)
Now I ain't never tell you to put down your hands
Keep 'em high (Keep 'em high, keep 'em high, uh-uh)
And if you're losin' your high, then smoke again
Keep 'em high",985
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,10,1,Workout Plan,2a1JSfTePKhysdIif2bzut,True,46173,Kanye West,,1,50,171288,"[Girl #1, 
Girl #2
, 
Girl #3
, 
Girls #2 and 3
]
Ayy, wassup, girl?
Hey, girl
Hey, how you doin'?
Ayy, you know I finally got my shit together
Been watchin' that workout plan, girl!
Well, you lookin' all good and stuff, you got you a—
Girl, I know it's that workout
Got you a 
six pack Shakur
 and stuff
Don't say it
My nigga, my nigga, I'm tired of puttin' 1-8-7 in my nigga's pager
That shit ain't workin' no more
Girl, you know I'ma video ho-ffesional now (Girl)
Since I copped this new workout plan, my shit is right
Rollin' in Lexus, Acuras, everything, girl
Girl, you need to let me know how I can cop that, how much is it?
Girl, you know you ain't gotta pay for nothin' around me, I'm the bootleg queen I'll give it to you for Free.99
FREE.99?!
That's my dawg, you always lookin' out for us
My nigga, now I can throw away my bus pass and shit, oh my God
Oh, shit",174
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,11,1,The New Workout Plan,1Vp4St7JcXaUoJcIahtf3L,True,322800,Kanye West,,1,62,1320,"[Intro: Kanye West]
You just popped in the Kanye West: Get Right for the Summer workout tape
And ladies, if you follow these instructions exactly
You might be able to pull you a rapper, a NBA player
Man, at least a dude with a car
So, first of all, we gonna work on the stomach
Nobody wants a little, tight ass

[Verse 1: Kanye West]
One, and two, and three, and four, and get them sit ups right and
Tuck your tummy tight and
Do your crunches like this
Give head, stop, breathe
Get up, check your weave
Don't drop the blunt and disrespect the weed
Pick up your son, don't disrespect your seed
It's a party tonight and
Ooh, she's so excited
""Tell me who's invited""
You, your friends and my dick
(Ah!) What's scary to me:
Henny make girls look like Halle Berry to me
So excuse me, miss, I forgot your name
Thank you, God bless you, good night, I came
I came, I came

[Chorus: Kanye West]
It's been a week without me
And she feel weak without me
She wanna talk it out but
Ain't nothing to talk about, 'less
She's talking 'bout freaking out
Then maybe we can work it out
Work it out, work it out
Work it out, work it out now
Maybe we can work it out

[Verse 2: Kanye West]
Ooh, girl, your silhouette make me wanna light a cigarette
My name Kanye from the Jigga set, Twista said, ""Get It Wet""
Ooh, girl, your breath is harsh!
Cover your mouth up like you got SARS
Off them tracks, yeah, I bought them cars
Still, kill a nigga on 16 bars
We ain't sweating to the oldies, we juking to a cold beat
Maybe one day, girl, we can bone
So you can brag to all your homies now
But I still mess with a big girl, if you ain't fit, girl, I'll still hit, girl
One and, you brought two friends
Okay, three more, now hop in the Benz
Four door, do you know the difference between a five, six, seven, eight?
All the Mocha Lattes, you gotta do Pilates
You gotta pop this tape in before you start back dating
Hustlers, gangstas, all us ballers

[Chorus: Kanye West]
It's been a week without me
And she feel weak without me
She wanna talk it out but
Ain't nothing to talk about
Unless she's talking 'bout freaking out
Then maybe we can work it out
Work it out, work it out
Work it out, work it out now
Maybe we can work it out

[Interlude 1: Jill]
Hi, my name is Jill, I just want to say thanks to Kanye's workout plan
I was able to pull a NBA player
And, like, now I shop every day on Rodeo Drive
I just want to say, thank you, Kanye!
Woo! Woo! Woo! (Woo! Woo!)

[Interlude 2: Lasandra]
My name is Lasandra, and I just want to say that since listening to Kanye's workout tape
I was able to get my phone bill paid
I got sounds and 13's put up in my Cavalier
And I was able to get a free trip to Cancun
And what's most importantly is that I ain't gotta fuck with Ray-Ray's broke ass no mo'

[Bridge 1: Kanye West]
Work it (
Mo'
)
Juke it (
Mo'
) Pump it (
Mo'
)
Chi-Town (
Mo'
) Let's go (
Mo'
)

[Interlude 3: Ella-May]
My name is Ella-May from Mobile, Alabama
And I just want to say since listening to Kanye's workout tape
I been able to date outside the family
I got a double wide, and I rode a plane (Rode a plane, rode a plane, rode a plane, rode a plane)

[Bridge 2: Jill, Lasandra, Ella-May]
Thanks to Kanye's workout plan
I'm the envy of all my friends
See, I pulled me a baller man
And I ain't gotta work at the mall again

[Interlude 4: Bosko, Kanye West]
(Lemme break ya wit' a piece of)
My favorite workout plan (Oh, oh, oh)
I wanna see you work out
(Yeah-yeah-yeah-yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah-yeah-yeah)
I wanna see you work out
(
It's like that old Michael Jackson shit, oh
)

[Refrain: GLC, Kanye West]
That's right, put in work (
Oh
)
Move your ass, go berserk (
Okay
)
Eat your salad, no dessert
Get that man you deserve

[Interlude 5: Bosko, Kanye West]
It's Kanye's workout plan
I said, ""It's Kanye's workout plan"" (
Ladies and gentlemen
)
It's Kanye's workout plan (
Allow myself to introduce myself
)
His workout plan (
This time around, I want y'all to clap with me like this
)

[Refrain: GLC, Kanye West]
That's right, put in work (
Uh
)
Move your ass, go berserk
Eat your salad, no dessert
Get that man you deserve
(Stop!)

[Interlude 5: Bosko, Kanye West]
It's Kanye's workout plan (Okay, breathe)
I said, ""It's Kanye's workout plan"" (I know y'all ain't tired)
It's Kanye's workout plan (But I hope not 'cause on this one, I need y'all)
His workout plan (
To give me a soul clap, okay?
)
(
Double time
)

[Refrain: GLC, Kanye West, GLC & Kanye West]
That's right, put in work (
Woo!
)
Move your ass, go berserk (
Ow!
)
Eat your salad, no dessert (
Ugh!
)
Get that man you deserve
That's right, 
put in work
Move your ass, 
go berserk
Eat your salad, 
no dessert
Get that man you deserve (
You hear, ugh
)
That's right, put in work
Move your ass, 
go berserk
Eat your salad, no dessert
Get that man you deserve (Woo!)

[Outro: Bosko, Kanye West]
(Okay, okay, okay, that's very good good)
(I appreciate your time)
I want to see you work out for me
Woah, yeah, woah, yeah
Do-do-do-do-do-do-do-do-do-do, yo",978
