Album,Album ID,Release Date,Track Number,Disc Number,Track Name,Track ID,Explicit,Duration,Primary Artist,Featured Artists,Total Artists,Popularity,Genius Track ID,Lyrics,Word Count
Graduation,4SZko61aMnmgvNhfhgTuD3,2007-09-11,9,1,Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,True,237506,Kanye West,Dwele,2,87,523,"[Intro: Connie Mitchell]
Flashing lights
Flashing lights
Flashing lights
Flashing lights

[Verse 1: Kanye West]
She don't believe in shootin' stars
But she believe in shoes and cars
Wood floors in the new apartment
Couture from the store's departments
You more like love to start shit
I'm more of the trips to Florida
Ordered the hors d'oeuvres, views of the water
Straight from a page of your favorite author
And the weather so breezy
Man, why can't life always be this easy?
She in the mirror dancin' so sleazy
I get a call like, ""Where are you, Yeezy?""
And try to hit you with the ol-wu-wopte
'Til I got flashed by the paparazzi
Damn, these niggas got me
I hate these niggas more than a Nazi

[Chorus: Dwele & 
Connie Mitchell
]
As I recall, I know you love to show off
But I never thought that you would take it this far
But what do I know?
Flashing lights
What do I know? Know
Flashing lights

[Verse 2: Kanye West]
I know it's been a while, sweetheart
We hardly talk, I was doin' my thing
I know I was foul, baby
A-bay, lately, you've been all on my brain
And if somebody would've told me a month ago
Frontin' though, yo, I wouldn't wanna know
If somebody would've told me a year ago
It'll go get this difficult
Feelin' like Katrina with no FEMA
Like Martin with no Gina
Like a flight with no visa
First class with the seat back, I still see ya
In my past, you on the other side of the glass
Of my memory's museum
I'm just sayin', ""Hey, Mona Lisa
Come home, you know you can't roam without Caesar""

[Chorus: Dwele & Connie Mitchell]
As I recall, I know you love to show off
But I never thought that you would take it this far
But what do I know?
Flashing lights
What do I know? Know
Flashing lights
As you recall, you know I love to show off
But you never thought that I would take it this far
But what do you know?
Flashing lights
What do you know? Know
Flashing lights

[Outro: Connie Mitchell]
Flashing lights
Flashing lights",368
808s & Heartbreak,3WFTGIO6E3Xh4paEOBY9OU,2008-11-24,3,1,Heartless,4EWCNWgDS8707fNSZ1oaA5,False,211000,Kanye West,,1,85,526,"[Chorus]
In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

[Verse 1]
How could you be so
Cold as the winter wind when it breeze, yo?
Just remember that you talkin' to me though
You need to watch the way you talkin' to me, yo
I mean, after all the things that we been through
I mean, after all the things we got into
Ayo, I know of some things that you ain't told me
Ayo, I did some things but that's the old me
And now you wanna get me back and you gon' show me
So you walk around like you don't know me
You got a new friend, well, I got homies
But in the end, it's still so lonely

[Chorus]
In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

[Verse 2]
How could you be so Dr. Evil?
You're bringin' out a side of me that I don't know
I decided we wasn't gon' speak so
Why we up 3 a.m. on the phone?
Why do she be so mad at me fo'?
Homie, I don't know, she's hot and cold
I won't stop, won't mess my groove up
‘Cause I already know how this thing go
You run and tell your friends that you're leavin' me
They say that they don't see what you see in me
You wait a couple of months, then you gon' see
You'll never find nobody better than me

[Chorus]
In the night, I hear 'em talk (Me)
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

[Bridge]
Talk and talk and talk and talk
Baby, let's just knock it off
They don't know what we been through
They don't know 'bout me and you
So I got somethin' new to see
And you just gon' keep hatin' me
And we just gon' be enemies
I know you can't believe
I could just leave it wrong
And you can't make it right
I'm gon' take off tonight into the night

[Chorus]
In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless? (How, how?)
Oh, how could you be so heartless?

[Outro]
On and on and on and on
And on and, and on and on and on",472
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,4,1,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,True,223506,Kanye West,Syleena Johnson,2,83,86,"[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
Yeah, this the real one, baby
I'm tellin' you all, it all falls down
Uh, Chi-Town, stand up!
Oh, when it all, it all falls down
Southside, Southside
We gon' set this party off right
I'm tellin' you all, it all falls down
Westside, Westside
We gon' set this party off right
Oh, when it all

[Verse 1: Kanye West]
Man, I promise, she's so self-conscious
She has no idea what she doin' in college
That major that she majored in don't make no money
But she won't drop out, her parents'll look at her funny
Now, tell me that ain't insecurr
The concept of school seems so securr
Sophomore, three yurrs, ain't picked a carurr
She like, ""Fuck it, I'll just stay down hurr and do hair""
'Cause that's enough money to buy her a few pairs
Of new Airs, 'cause her baby daddy don't really care
She's so precious with the peer pressure
Couldn't afford a car, so she named her daughter Alexis
She had hair so long that it looked like weave
Then she cut it all off, now she look like Eve
And she be dealin' with some issues that you can't believe
Single black female addicted to retail, and well

[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
And when it falls down, who you gon' call now?
I'm tellin' you all, it all falls down
C'mon, c'mon, and when it all falls down
Oh, when it all

[Verse 2: Kanye West]
Man, I promise, I'm so self-conscious
That's why you always see me with at least one of my watches
Rollies and Pashas done drove me crazy
I can't even pronounce nothing, pass that Ver-say-see!
Then I spent four hundred bucks on this
Just to be like, ""Nigga, you ain't up on this""
And I can't even go to the grocery store
Without some 1s that's clean and a shirt with a team
It seem we livin' the American Dream
But the people highest up got the lowest self-esteem
The prettiest people do the ugliest things
For the road to riches and diamond rings
We shine because they hate us, floss 'cause they degrade us
We tryna buy back our 40 acres
And for that paper, look how low we'll stoop
Even if you in a Benz, you still a nigga in a coupe

[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
Come on, come on
I'm tellin' you all, it all falls down
And when it falls down, who you gon' call now?
Oh, when it all, it all falls down
Come on, come on
I'm tellin' you all, it all falls down
And when it all falls down

[Verse 3: Kanye West]
I say, ""Fuck the police,"" that's how I treat 'em
We buy our way out of jail, but we can't buy freedom
We'll buy a lot of clothes, but we don't really need 'em
Things we buy to cover up what's inside
'Cause they made us hate ourself and love they wealth
That's why shorty's hollerin', ""Where the ballers at?""
Drug dealer buy Jordan, crackhead buy crack
And the white man get paid off of all of that
But I ain't even gon' act holier than thou'
'Cause fuck it, I went to Jacob with 25 thou'
Before I had a house and I'd do it again
‘Cause I wanna be on 
106 & Park
, pushin' a Benz
I want to act ballerific like it's all terrific
I got a couple past-due bills, I won't get specific
I got a problem with spendin' before I get it
We all self-conscious, I'm just the first to admit it

[Chorus: Syleena Johnson & 
Kanye West
]
Oh, when it all, it all falls down
C'mon, c'mon
And when it falls down, who you gon' call now?
I'm tellin' you all, it all falls down
C'mon, c'mon, and when it falls down
Oh, when it all, it all falls down
Southside, Southside
We gon' set this party off right
I'm tellin' you all, it all falls down
Westside, Westside
We gon' set this party off right
Oh, when it all, it all falls down
Chi-Town, Chi-Town
We gon' show 'em how we get down
I'm tellin' you all, it all falls down
Now, Syleena, you just like a safe belt, you saved my lifeC'monOh, when it all, it all falls down
I'm tellin' you all, it all falls down

[Outro: DeRay]
*Applause*
I can't keep workin' like this
This grave shifts is like a slave ship

[Produced by Kanye West]",787
My Beautiful Dark Twisted Fantasy,20r762YmB5HeofjMCiPMLv,2010-11-22,9,1,Runaway,3DK6m7It6Pw857FcQftMds,True,547733,Kanye West,Pusha T,2,83,1295,"[Intro: Rick James & 
James Brown
]
Look at ya, look at ya, look at ya, look at ya
Look at ya, look at ya, look at ya, look at ya
Look at ya, look at ya, look at ya, look at ya
Look at ya, look at ya, look at ya, look at ya (
Ladies and gentlemen, ladies, ladies and gentlemen
)

[Pre-Chorus: Kanye West]
And I always find, yeah, I always find something wrong
You been puttin' up with my shit just way too long
I'm so gifted at finding what I don't like the most
So I think it's time for us to have a toast

[Chorus: Kanye West]
Let's have a toast for the douchebags
Let's have a toast for the assholes
Let's have a toast for the scumbags
Every one of them that I know
Let's have a toast for the jerk-offs
That'll never take work off
Baby, I got a plan
Run away fast as you can

[Verse 1: Kanye West]
She find pictures in my email
I sent this bitch a picture of my dick
I don't know what it is with females
But I'm not too good at that shit
See, I could have me a good girl
And still be addicted to them hoodrats
And I just blame everything on you
At least you know that's what I'm good at

[Pre-Chorus: Kanye West]
And I always find, yeah, I always find
Yeah, I always find something wrong
You been puttin' up with my shit just way too long
I'm so gifted at finding what I don't like the most
So I think it's time for us to have a toast
[Chorus: Kanye West]
Let's have a toast for the douchebags
Let's have a toast for the assholes
Let's have a toast for the scumbags
Every one of them that I know
Let's have a toast for the jerk-offs
That'll never take work off
Baby, I got a plan
Run away fast as you can

[Bridge: Kanye West & Rick James]
Run away from me, baby
Ah, run away
Run away from me, baby (
Look at ya, look at ya, look at ya
)
Run away
When it starts to get crazy (
Look at ya, look at ya, look at ya
)
Then run away
Babe, I got a plan, run away as fast as you can
Run away from me, baby
Run away
Run away from me, baby (
Look at, look at, look at, look at, look at, look at, look at ya
)
Run away
When it starts to get crazy (
Look at ya, look at ya, look at ya, look at ya
)
Why can't she just run away?
Baby, I got a plan
Run away as fast as you can (
Look at ya, look at ya, look at ya
)

[Verse 2: Pusha T]
Twenty-four seven, three sixty-five, pussy stays on my mind
I-I-I-I did it, alright, alright, I admit it
Now pick your next move, you could leave or live with it
Ichabod Crane with that motherfuckin' top off
Split and go where? Back to wearing knockoffs?
Haha, knock it off, Neimans, shop it off
Let's talk over mai tais, waitress, top it off
Hoes like vultures, wanna fly in your Freddy loafers
You can't blame 'em, they ain't never seen Versace sofas
Every bag, every blouse, every bracelet
Comes with a price tag, baby, face it
You should leave if you can't accept the basics
Plenty hoes in the baller-nigga matrix
Invisibly set, the Rolex is faceless
I'm just young, rich, and tasteless, P

[Verse 3: Kanye West]
Never was much of a romantic
I could never take the intimacy
And I know I did damage
'Cause the look in your eyes is killing me
I guess you knew of that advantage
'Cause you could blame me for everything
And I don't know how I'ma manage
If one day, you just up and leave

[Pre-Chorus: Kanye West]
And I always find, yeah, I always find something wrong
You been puttin' up with my shit just way too long
I'm so gifted at finding what I don't like the most
So I think it's time for us to have a toast

[Chorus: Kanye West]
Let's have a toast for the douchebags
Let's have a toast for the assholes
Let's have a toast for the scumbags
Every one of them that I know
Let's have a toast for the jerk-offs
That'll never take work off
Baby, I got a plan
Run away fast as you can

[Outro: Kanye West]
[Non-Lyrical Vocals]",769
Graduation,4SZko61aMnmgvNhfhgTuD3,2007-09-11,4,1,I Wonder,7rbECVPkY5UODxoOUVKZnA,True,243440,Kanye West,,1,83,1557,"[Produced by Kanye West]

[Intro: Labi Siffre]
Find your dreams come true
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means to find your dreams
And I wonder

[Verse 1: Kanye West & Labi Siffre]
I've been waitin' on this my whole life (And I wonder)
These dreams be wakin' me up at night (And I wonder)
You say I think I'm never wrong (And I wonder)
You know what? Maybe you're right, aight?

[Chorus: Labi Siffre]
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means to find your dreams
And I wonder

[Verse 2: Kanye West & Labi Siffre]
You say he get on your fuckin' nerves (
And I wonder
)
You hope that he get what he deserves—word! (
And I wonder
)
Do you even remember what the issue is?
You just tryna find where the tissue is
You can still be who you wish you is
It ain't happen yet, and that's what intuition is (And I wonder)
When you hop back in the car
Drive back to the crib, run back to their arms
The smokescreens, the chokes and the screams
You ever wonder what it all really means?

[Chorus: Labi Siffre]
And I wonder if you know
What it means, what it means
And I wonder if you know
What it means to find your dreams
And I wonder

[Verse 3: Kanye West & 
Labi Siffre
]
And I'm back on my grind
A psychic read my lifeline, told me in my lifetime
My name would help light up the Chicago skyline
And that's why I'm (And I wonder)
Seven o'clock, that's primetime
Heaven'll watch, God callin' from the hotlines
Why he keep givin' me hot lines?
I'm a star, how could I not shine? (
And I wonder
)
How many ladies in the house? (
If you know
)
How many ladies in the house without a spouse? (
What it means
)
Somethin' in your blouse got me feelin' so aroused (
What it means
)
What you about? (
And I wonder
)
On that independent shit (
If you know
)
Trade it all for a husband and some kids (
What it means
)
You ever wonder what it all really mean?
You wonder if you'll ever find your dreams?
(
To find yo
ur dreams come true
)

[Instrumental Outro]",430
Graduation,4SZko61aMnmgvNhfhgTuD3,2007-09-11,12,1,Homecoming,4iz9lGMjU1lXS51oPmUmTe,True,203493,Kanye West,Chris Martin,2,83,552,"[Intro: Kanye West]
Yeah
And you say Chi city!
Chi city! Chi city!

[Chorus: Chris Martin & 
Kanye West
]
I'm comin' home again
Do you think about me now and then? 
(Yeah)
Do you think about me now and then?
'Cause I'm comin' home again (Ow!)
-Min' home again

[Verse 1: Kanye West]
I met this girl when I was three years old
And what I loved most, she had so much soul
She said, ""Excuse me, little homie, I know you don't know me, but
My name is Windy and I like to blow trees,"" and
From that point, I'd never blow her off
Niggas come from out of town, I like to show her off
They like to act tough, she like to tow 'em off
And make 'em straighten up they hat 'cause she know they soft
And when I grew up, she showed me how to go downtown
In the nighttime, her face lit up, so astoundin'
I told her in my heart is where she'll always be
She never messed with entertainers 'cause they always leave
She said, ""It felt like they walked and drove on me""
Knew I was gang affiliated, got on TV and told on me
I guess that's why last winter she got so cold on me
She said, ""Ye, keep makin' that, keep makin' that platinum and gold for me""

[Chorus: Chris Martin]
I'm comin' home again
Do you think about me now and then?
Do you think about me now and then?
'Cause I'm comin' home again
-Min' home again
Do you think about me now and then?
Do you think about me now and then? Oh!
Now I'm comin' home again
Maybe we can start again

[Verse 2: Kanye West]
But if you really cared for her
Then you wouldn't've never hit the airport to follow your dreams
Sometimes, I still talk to her
But when I talk to her, it always seems like she talkin' 'bout me
She said, ""You left your kids, and they just like you
They wanna rap and make soul beats just like you
But they just not you,"" and I just got through
Talkin' 'bout what niggas tryin' to do just not new
Now everybody got the game figured out all wrong
I guess you never know what you got 'til it's gone
I guess that's why I'm here and I can't come back home
And guess when I heard that? When I was back home
Every interview, I'm representin' you, makin' you proud
Reach for the stars, so if you fall, you land on a cloud
Jump in the crowd, spark your lighters, wave 'em around
If you don't know by now, I'm talkin' 'bout Chi-Town

[Chorus: Chris Martin]
I'm comin' home again
Do you think about me now and then?
Do you think about me now and then?
'Cause I'm comin' home again
-Min' home again
Baby, do you remember when
Fireworks at Lake Michigan? Oh!
Now I'm comin' home again
-Min' home again
Baby, do you remember when
Fireworks at Lake Michigan? Oh!
Now I'm comin' home again
Maybe we can start again

[Outro: Chris Martin]
Loy-oy-al, loy-oy-al
Comin' home again
Loy-oy-al, loy-oy-al
Comin' home again
Maybe we can start again",543
Graduation,4SZko61aMnmgvNhfhgTuD3,2007-09-11,3,1,Stronger,0j2T0R9dR9qdJYsB7ciXhf,True,311866,Kanye West,,1,82,525,"[Produced by Kanye West, Mike Dean, and Timbaland]

[Intro: Daft Punk]
Work it, make it, do it, makes us
Harder, better, faster, stronger

[Chorus: Kanye West & 
Daft Punk
]
Nah-nah-nah, that, that don't kill me
Can only make me stronger
I need you to hurry up now
'Cause I can't wait much longer
I know I got to be right now
'Cause I can't get much wronger
Man, I've been waitin' all night now
That's how long I been on ya
Work it harder, make it better
Do it faster, makes us stronger
(I need you right now, right now)
More than ever, hour after hour
Work—
(I need you right now, right now)

[Verse 1: Kanye West]
Let's get lost tonight
You could be my black Kate Moss tonight
Play secretary, I'm the boss tonight
And you don't give a fuck what they all say, right?
Awesome, the Christian in Christian Dior
Damn, they don't make 'em like this anymore
I ask, 'cause I'm not sure
Do anybody make real shit anymore?
Bow in the presence of greatness
'Cause right now, thou hast forsaken us
You should be honored by my lateness
That I would even show up to this fake shit
So go ahead, go nuts, go apeshit
'Specially in my Pastellé, on my Bape shit
Act like you can't tell who made this
New Gospel, homie, take six
And take this, haters

[Chorus: Kanye West & 
Daft Punk
]
Nah-nah-nah, that, that don't kill me
Can only make me stronger
I need you to hurry up now
'Cause I can't wait much longer
I know I got to be right now
'Cause I can't get much wronger
Man, I've been waitin' all night now
That's how long I been on ya
Work it harder, make it better
Do it faster, makes us stronger
(I need you right now, now)
More than ever, hour after hour
Work—
(I need you right now, right now)
Me likey

[Verse 2: Kanye West & Daft Punk]
I don't know if you got a man or not
If you made plans or not
If God put me in your plans or not
I'm trippin', this drink got me sayin' a lot
But I know that God put you in front of me
So how the hell could you front on me?
There's a thousand you's, there's only one of me
I'm trippin', I'm caught up in the moment, right?
'Cause it's Louis Vuitton Don night
So we gon' do everything that Kan' like
Heard they'd do anything for a Klondike
Well, I'd do anything for a blonde dyke
And she'll do anything for the limelight
And we'll do anything when the time's right
Uh, baby, you're makin' it
Harder, better, faster, stronger (Oh)

[Chorus: Kanye West & 
Daft Punk
]
Nah-nah-nah, that, that don't kill me (Oh)
Can only make me stronger (Oh)
I need you to hurry up now (Oh)
'Cause I can't wait much longer (Oh)
I know I got to be right now (Oh)
'Cause I can't get much wronger (Oh)
Man, I've been waitin' all night now
That's how long I been on ya
Work it harder, make it better
Do it faster, makes us stronger
(I need you right now, now)
More than ever, hour after hour
Work is never over
(I need you right now, right now)

[Bridge: Kanye West & Daft Punk]
You know how long I've been on ya
Since Prince was on Apollonia
Since O.J. had Isotoners
Don't act like I never told ya
Work it, work is never over
Don't act like I 
never
 told ya
Harder, work is never over
Uh, don't act like I 
never
 told ya
Don't act like I 
never
 told ya
Don't act like I 
never
 told ya
Uh, baby, you're makin' it
Harder, better, faster, stronger

[Chorus: Kanye West & 
Daft Punk
]
Nah-nah-nah, that, that don't kill me
Can only make me stronger
I need you to hurry up now
'Cause I can't wait much longer
I know I got to be right now
'Cause I can't get much wronger
Man, I've been waitin' all night now
That's how long I been on ya
Work it harder, make it better
Do it faster, makes us stronger
(I need you right now, now)
More than ever, hour after hour
Work is never over
(I need you right now, right now)
Work it harder, make it better
Do it faster, makes us stronger
(I need you right now, now)
More than ever, hour after hour
Work is never over
(I need you right now, right now)

[Bridge: Kanye West]
You know how long I've been on ya
Since Prince was on Apollonia
Since O.J. had Isotoners
Don't act like I never told ya
You know how long I've been on ya
Since Prince was on Apollonia
Since O.J. had Isotoners
Don't act like I never told ya

[Outro: Kanye West & Daft Punk]
Told ya, told ya
Never told ya, told ya, told ya
Never told ya, told ya, told ya
Never told ya, told ya, told ya
Never told ya
Never over (W—), never over (Ha—)
Never over (Fa—), never over (St—)
Never over, never over
Never over
Harder, better, faster, strongerWork it harder, make it better
Do it faster, makes us stronger
More than ever, hour after hour
Work is never over
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after hour
Work is never over
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after hour
Work is never over
Work it harder, make it better
Do it faster, makes us stronger
More than ever, hour after hour
Work is never over",964
ye,2Ek1q2haOnxVqhvVKqMvJe,2018-06-01,7,1,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,True,215320,Kanye West,,1,82,3756527,"[Intro: 070 Shake]
Fallin', dreamin', talkin' in your sleep
I know you want to cry all night, all night
Plottin', schemin', findin'
Reason to defend all of your violent nights
Promise me you will see

[Chorus: 070 Shake]
Don't you grow up in a hurry, your mom'll be worried, aw
It was all part of the story, even the scary nights
Thank you for all of the glory, you will be remembered, aw
Thank you to all of the heroes of the night (Night, night)
They gotta repaint the colors, the lie is wearin' off
Reality is upon us, colors drippin' off
Colors drippin' off

[Verse: Kanye West]
Niggas is savage, niggas is monsters
Niggas is pimps, niggas is players
'Til niggas have daughters, now they precautious
Father, forgive me, I'm scared of the karma
'Cause now I see women as somethin' to nurture
Not somethin' to conquer
I hope she like Nicki, I make her a monster
Not havin' ménages, I'm just bein' silly
I answered the door like Will Smith and Martin
Nigga, do we have a problem?
Matter fact, Marlon, this ain't 
Meet the Fockers
I'll beat his ass, pray I beat the charges
No, Daddy don't play, not when it come to they daughters
Don't do no yoga, don't do pilates
Just play piano and stick to karate
I pray your body's draped more like mine
And not like your mommy's
Just bein' salty, but niggas is nuts
And I am a nigga, I know what they want
I pray that you don't get it all at once
Curves under your dress, I know it's pervs all on the net
All in the comments, you wanna vomit
That's your baby, you love her to death
Now she cuttin' class and hangin' with friends
You break a glass and say it again
She can't comprehend the danger she in
If you whoop her ass, she move in with him
Then he whoop her ass, you go through it again
But how you the devil rebukin' the sin?
Let's pray we can put this behind us
I swear that these times is the wildest
She got the scars, they serve as reminders
Blood still on her pajamas
But yesterday is dead, yeah, moment of silence
Next, she'll be off to college and then at the altar
'Cause she know that niggas is savage, niggas is monsters
Niggas is pimps, niggas is players, 'til niggas have daughters
Niggas is pimps, niggas is players, 'til niggas have daughters

[Chorus: 070 Shake & Ty Dolla $ign]
Don't you grow up in a hurry, your mom'll be worried, aw
It was all part of the story, even the scary nights
Thank you for all of the glory, you will be remembered, aw
Thank you to all of the heroes of the night (Night, night)
They gotta repaint the colors, the lie is wearin' off
Reality is upon us, colors drippin' off
Colors drippin' off

[Outro: Nicki Minaj]
I'm saying it like...
""I want a daughter like Nicki, aw, man, I promise
I'ma turn her to a monster, but no ménages""
I don't know how you saying it, but let 'em hear this",530
Yeezus,7D2NdGvBHIavgLhmcwhluK,2013-06-18,10,1,Bound 2,3sNVsP50132BTNlImLx70i,True,229146,Kanye West,,1,82,158615,"[Intro: Ponderosa Twins Plus One & 
Brenda Lee
]
B-b-b-b-bound to fall in love
Bound to fall in love
Uh-huh, honey

[Chorus: Kanye West, 
Ponderosa Twins Plus One
 & 
Brenda Lee
]
All them other niggas lame, and you know it now
When a real nigga hold you down, you supposed to drown
(Bound to fall in love)
Bound
(B-b-b-b-bound to fall in love)
Bound
Uh-huh, honey

[Verse 1: Kanye West]
What you doin' in the club on a Thursday?
She say she only here for her girl birthday
They ordered champagne but still look thirsty
Rock Forever 21, but just turned thirty
I know I got a bad reputation
Walk-around-always-mad reputation
Leave-a-pretty-girl-sad reputation
Start a Fight Club, Brad reputation
I turnt the nightclub out of the basement
I'll turn the plane around, your ass keep complainin'
How you gon' be mad on vacation?
Dutty wining 'round all these Jamaicans
Uh, this that prom shit
This that what-we-do-don't-tell-your-mom shit
This that red-cup-all-on-the-lawn shit
Got a fresh cut, straight out the salon, bitch

[Bridge: Charlie Wilson & 
Brenda Lee
]
I know you're tired of lovin', of lovin' (Ooh)
With nobody to love, nobody, no—
Uh-huh, honey

[Chorus: Kanye West, 
Ponderosa Twins Plus One
 & 
Brenda Lee
]
Close your eyes and let the word paint a thousand pictures
One good girl is worth a thousand bitches
(
Bound to fall in love
)
Bound
(
Bound to fall in love
)
Bound
Uh-huh, honey

[Verse 2: Kanye West]
I wanna fuck you hard on the sink
After that, give you somethin' to drink
Step back, can't get spunk on the mink
I mean damn, what would Jeromey Romey Romey Rome think?
Hey, you remember where we first met?
Okay, I don't remember where we first met
But hey, admittin' is the first step
And hey, you know ain't nobody perfect
And I know, with the hoes I got the worst rep
But hey, their backstroke I'm tryna perfect
And hey, ayo, we made it; Thanksgivin'
So hey, maybe we can make it to Christmas
She asked me what I wished for on my wishlist
Have you ever asked your bitch for other bitches?
Maybe we could still make it to the church steps
But first, you gon' remember how to forget
After all these long-ass verses
I'm tired, you tired, Jesus wept

[Bridge: Charlie Wilson & 
Brenda Lee
]
I know you're tired (Tired) of lovin', of lovin' (Ooh)
With nobody to love, nobody, nobody
So just grab somebody, no leavin' this party (Woo)
With nobody to love, nobody, nobody
Ooh
Uh-huh, honey

[Chorus: Kanye West, Ponderosa Twins Plus One & Brenda Lee]
Jerome's in the house, watch your mouth
Jerome's in the house, watch your mouth
(
Bound to fall in love
)
Bound
(
Bound to fall in love
)
Bound
Uh-huh, honey

[Produced by Kanye West and Che Pope with additional production from Eric Danchild, Noah Goldstein, No ID and Mike Dean]

[Video directed by Nick Knight]",500
Late Registration,5ll74bqtkcXlKE7wwkMq4g,2005-08-30,4,1,Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,True,207626,Kanye West,Jamie Foxx,2,80,1267,"[Intro: Jamie Foxx and 
Kanye West
]
She take my money when I'm in need
Yeah, she's a triflin' friend indeed
Oh, she's a gold digger
Way over town that digs on me
(Uh)

[Chorus: Kanye West & (Jamie Foxx)]
(She give me money) Now, I ain't sayin' she a gold digger
(When I'm in need) But she ain't messin' with no broke niggas
(She give me money) Now, I ain't sayin' she a gold digger
(When I'm in need) But she ain't messin' with no broke niggas

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head

[Verse 1: Kanye West]
Cutie the bomb, met her at a beauty salon
With a baby Louis Vuitton under her underarm
She said, ""I can tell you rock, I can tell by your charm
Far as girls, you got a flock
I can tell by your charm and your arm""
But I'm lookin' for the one, have you seen her?
My psychic told me she'll have a ass like Serena
Trina, Jennifer Lopez, four kids
And I gotta take all they bad asses to ShowBiz?
Okay, get your kids, but then they got their friends
I pulled up in the Benz, they all got up in
We all went to din' and then I had to pay
If you fuckin' with this girl, then you better be paid
You know why? It take too much to touch her
From what I heard, she got a baby by Busta
My best friend said she used to fuck with Usher
I don't care what none of y'all say, I still love her

[Chorus: Kanye West & (Jamie Foxx)]
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head

[Verse 2: Kanye West]
Eighteen years, eighteen years
She got one of your kids, got you for eighteen years
I know somebody payin' child support for one of his kids
His baby mama car and crib is bigger than his
You will see him on TV any given Sunday
Win the Super Bowl and drive off in a Hyundai
She was supposed to buy your shorty Tyco with your money
She went to the doctor, got lipo with your money
She walkin' 'round lookin' like Michael with your money
Shoulda got that insured, Geico for your money
If you ain't no punk
Holla, ""We want prenup! We want prenup!"" (Yeah!)
It's somethin' that you need to have
‘Cause when she leave yo' ass, she gon' leave with half
Eighteen years, eighteen years
And on the eighteenth birthday, he found out it wasn't his?

[Chorus: Kanye West & (Jamie Foxx)]
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh
(She give me money) Now, I ain't sayin' she a gold digger, uh
(When I'm in need) But she ain't messin' with no broke niggas, uh

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head

[Verse 3: Kanye West]
Now, I ain't sayin' you a gold digger, you got needs
You don't want a dude to smoke, but he can't buy weed
You go out to eat, he can't pay, y'all can't leave
There's dishes in the back, he gotta roll up his sleeves
But while y'all washin', watch him
He gon' make it to a Benz out of that Datsun
He got that ambition, baby, look at his eyes
This week, he moppin' floors, next week, it's the fries
So stick by his side
I know there's dudes ballin', and yeah, that's nice
And they gon' keep callin' and tryin', but you stay right, girl
And when he get on, he'll leave yo' ass for a white girl

[Refrain: Kanye West & (Jamie Foxx)]
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head, get down
(I gotta leave) Get down, girl, go 'head

[Outro: Kanye West]
Let me hear that back

[Produced by Kanye West and Jon Brion]",832
