Album,Album ID,Release Date,Track Number,Disc Number,Track Name,Track ID,Explicit,Duration,Primary Artist,Featured Artists,Total Artists,Popularity
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,1,1,Intro,7lIr3vVhpDkU5mQEDcnA0S,True,19133,Kanye West,,1,14
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,2,1,We Don't Care,0IW0qaeyxL5Et4UG2MrJKB,True,239880,Kanye West,,1,66
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,3,1,Graduation Day,7wL7Lb8Q3aYyq6gmRL0PZq,True,81786,Kanye West,,1,54
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,4,1,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,True,223506,Kanye West,Syleena Johnson,2,83
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,5,1,I'll Fly Away,6MgGapP3EPFm9kYUvYBTZR,True,69706,Kanye West,,1,54
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,6,1,Spaceship,1ko2NuvWlQdxtNRc8QQzmT,True,324226,Kanye West,"GLC, Consequence",3,66
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,7,1,Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,True,193733,Kanye West,,1,70
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,8,1,Never Let Me Down,34j4OxJxKznBs88cjSL2j9,True,324440,Kanye West,"JAY-Z, J. Ivy",3,63
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,9,1,Get Em High,5b2FFKC64kxqcfaFnIZxoM,True,289493,Kanye West,"Talib Kweli, Common",3,59
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,10,1,Workout Plan,2a1JSfTePKhysdIif2bzut,True,46173,Kanye West,,1,50
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,11,1,The New Workout Plan,1Vp4St7JcXaUoJcIahtf3L,True,322800,Kanye West,,1,62
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,12,1,Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,True,316053,Twista,"Kanye West, Jamie Foxx",3,72
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,13,1,Breathe In Breathe Out,4KFY4EEv9CN6ivrzD6vEvg,True,246933,Kanye West,Ludacris,2,56
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,14,1,School Spirit Skit 1,25mwJPzWVmS2yronBNQJF1,True,78693,Kanye West,,1,48
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,15,1,School Spirit,1th3G3okofWlvGWAAR7Y4V,False,182386,Kanye West,,1,56
The College Dropout,4Uv86qWpGTxf7fU7lG5X6F,2004-02-10,16,1,School Spirit Skit 2,5MAY7XyW322jMwLDtBQgsZ,True,43533,Kanye West,,1,48
